STOCK,Date,D.perc_chg_x,D.MP20,D.MP50,D.MP200,D.MCo,D.RSI,D.MACD,D.per_volume_change_x,D.open_equals_high,D.open_equals_low,M.Prev_month_PerChange,M.Prev_Prev_month_PerChange,M.perc_chg_x,M.MP20,M.MP50,M.MP200,M.MCo,M.RSI,M.MACD,M.per_volume_change_x,M.open_equals_high,M.open_equals_low,W.Prev_week_PerChange,W.Prev_Prev_week_PerChange,W.perc_chg_x,W.MP20,W.MP50,W.MP200,W.MCo,W.RSI,W.MACD,W.per_volume_change_x,W.open_equals_high,W.open_equals_low,D.perc_chg_y,D.per_volume_change_y,D.PDEMA20,D.PDEMA50,D.PDSMA200,D.EMA20D50,D.EMA20D200,D.EMA50D200,D.RISING_RSI,D.RISING_LTP,D.DECLINING_RSI,D.DECLINING_LTP,D.RISING_VOLUME,D.DECLINING_VOLUME,M.perc_chg_y,M.per_volume_change_y,M.PDEMA20,M.PDEMA50,M.PDSMA200,M.EMA20D50,M.EMA20D200,M.EMA50D200,M.RISING_RSI,M.RISING_LTP,M.DECLINING_RSI,M.DECLINING_LTP,M.RISING_VOLUME,M.DECLINING_VOLUME,W.perc_chg_y,W.per_volume_change_y,W.PDEMA20,W.PDEMA50,W.PDSMA200,W.EMA20D50,W.EMA20D200,W.EMA50D200,W.RISING_RSI,W.RISING_LTP,W.DECLINING_RSI,W.DECLINING_LTP,W.RISING_VOLUME,W.DECLINING_VOLUME
ASTRAZEN,2023-02-08,2.82,DPB20,DPB50,DPA200,DBECO,46.54,BLW BECO,-37.36,False,False,-3.55,1.94,-0.82,MPA20,MPA50,MPB200,MBUCO,54.91,ABV BUCO,-68.39,False,False,-1.88,-1.94,0.89,WPA20,WPA50,WPA200,WBUCO,54.34,ABV BECO,14.32,False,False,2.82,-37.36,-0.66,-0.54,6.9,0.11,7.51,7.41,False,False,False,False,False,False,-0.82,-68.39,5.27,14.27,,9.5,,,False,False,False,False,False,True,0.89,14.32,1.16,4.53,7.59,3.41,6.51,3.2,False,False,False,False,False,False
ATGL,2023-02-08,-5.0,DPB20,DPB50,DPB200,DBECO,13.75,BLW BECO,-88.32,True,True,-30.55,-42.91,-34.02,MPB20,MPB50,MPB200,MBUCO,42.49,ABV BECO,-49.51,False,False,-9.75,-44.59,-14.26,WPB20,WPB50,WPA200,WBUCO,27.42,BLW BECO,-1.52,True,False,-5.0,-88.32,-84.85,-122.83,-123.14,-20.54,-20.71,-0.14,False,False,True,True,False,False,-34.02,-49.51,-65.34,-6.23,,35.75,,,False,False,True,True,False,False,-14.26,-1.52,-121.82,-105.35,15.65,7.42,61.97,58.92,False,False,True,True,False,False
ATUL,2023-02-08,0.38,DPB20,DPB50,DPB200,DBECO,36.59,BLW BUCO,-29.17,False,False,0.39,-13.6,0.78,MPB20,MPA50,MPB200,MBUCO,43.68,ABV BECO,-81.52,False,False,-1.19,3.58,-0.81,WPB20,WPB50,WPA200,WBECO,35.61,BLW BECO,-48.12,False,False,0.38,-29.17,-2.47,-7.54,-17.07,-4.94,-14.24,-8.86,False,False,False,False,False,False,0.78,-81.52,-13.32,4.27,,15.52,,,False,False,False,False,False,False,-0.81,-48.12,-10.96,-16.46,5.32,-4.96,14.67,18.7,False,False,False,False,False,True
AUBANK,2023-02-08,0.0,DPA20,DPA50,DPA200,DBECO,58.21,BLW BUCO,-50.34,False,False,4.86,-5.43,4.86,MPA20,MPA50,MPB200,MBUCO,57.01,ABV BECO,-79.02,False,False,3.16,4.17,3.16,WPA20,WPA50,WPA200,WBUCO,54.5,ABV BECO,-39.25,False,False,0.0,-50.34,2.83,2.31,3.14,-0.53,0.32,0.85,False,False,False,False,False,False,4.86,-79.02,8.34,21.8,,14.68,,,False,False,False,False,False,True,3.16,-39.25,2.95,4.42,24.5,1.52,22.21,21.01,True,True,False,False,False,True
AUROPHARMA,2023-02-08,6.31,DPA20,DPA50,DPB200,DBECO,58.12,BLW BUCO,144.16,False,False,2.57,-6.88,9.04,MPB20,MPB50,MPB200,MBECO,36.38,BLW BECO,-54.93,False,False,3.57,-2.92,10.11,WPB20,WPB50,WPB200,WBECO,41.25,BLW BECO,-21.05,False,False,6.31,144.16,3.97,0.19,-15.72,-3.94,-20.51,-15.94,True,True,False,False,True,False,9.04,-54.93,-29.19,-45.87,,-12.91,,,False,False,False,False,False,True,10.11,-21.05,-4.77,-20.2,-51.57,-14.73,-44.68,-26.11,False,False,False,False,False,False
AVANTIFEED,2023-02-08,0.54,DPA20,DPA50,DPB200,DBUCO,49.39,BLW BUCO,61.12,False,False,0.18,-0.12,0.73,MPB20,MPB50,MPB200,MBECO,42.53,BLW BECO,47.73,False,False,-0.84,3.06,-0.3,WPB20,WPB50,WPB200,WBECO,39.88,BLW BECO,-89.03,False,False,0.54,61.12,0.09,-1.87,-11.95,-1.96,-12.05,-9.9,False,False,False,False,False,False,0.73,47.73,-15.78,-23.29,,-6.48,,,False,False,False,False,False,False,-0.3,-89.03,-5.27,-13.82,-22.28,-8.12,-16.16,-7.44,False,False,False,False,False,False
AWL,2023-02-08,4.99,DPB20,DPB50,DPB200,DBECO,30.54,BLW BECO,-94.8,False,False,-14.48,-24.48,-10.22,MPB20,MPB50,MPB200,MBUCO,73.02,ABV BECO,-6.76,False,False,-0.26,-22.62,4.71,WPB20,WPB50,WPB200,WBUCO,33.66,BLW BECO,23.27,False,False,4.99,-94.8,-16.16,-31.34,-53.95,-13.07,-32.53,-17.21,True,True,False,False,False,False,-10.22,-6.76,-27.69,-11.94,,12.34,,,False,False,True,True,False,True,4.71,23.27,-37.39,-38.2,,-0.59,,,False,False,False,False,True,False
AXISBANK,2023-02-08,-0.84,DPB20,DPB50,DPA200,DBECO,37.01,BLW BECO,29.99,False,False,0.86,-6.66,0.02,MPA20,MPA50,MPB200,MBUCO,59.65,ABV BUCO,-74.09,False,False,-0.4,1.01,-1.23,WPB20,WPA50,WPA200,WBUCO,53.02,ABV BECO,-67.74,False,False,-0.84,29.99,-2.72,-3.31,9.63,-0.58,12.02,12.53,False,False,True,True,False,False,0.02,-74.09,10.72,19.49,,9.83,,,False,False,False,False,False,False,-1.23,-67.74,-0.15,6.72,21.12,6.86,21.24,15.44,False,False,False,False,False,False
BAJAJ-AUTO,2023-02-08,0.02,DPA20,DPA50,DPA200,DBUCO,65.37,ABV BUCO,25.28,True,False,1.6,5.59,1.63,MPA20,MPA50,MPB200,MBUCO,55.57,ABV BECO,-78.79,False,False,0.7,-2.14,0.72,WPA20,WPA50,WPA200,WBUCO,57.71,ABV BUCO,-59.8,False,False,0.02,25.28,3.21,4.76,3.34,1.6,0.14,-1.49,True,True,False,False,True,False,1.63,-78.79,5.05,11.3,,6.58,,,True,True,False,False,False,False,0.72,-59.8,4.21,4.48,13.07,0.28,9.25,9.0,False,False,False,False,False,True
BAJAJELEC,2023-02-08,1.17,DPA20,DPA50,DPA200,DBUCO,61.26,ABV BUCO,7.08,False,False,9.42,-11.5,10.7,MPA20,MPA50,MPB200,MBUCO,57.46,ABV BECO,-22.03,False,False,1.89,4.77,3.08,WPA20,WPA50,WPA200,WBUCO,55.4,ABV BECO,-61.56,False,False,1.17,7.08,3.54,3.58,6.68,0.04,3.25,3.21,True,True,False,False,False,False,10.7,-22.03,8.69,26.24,,19.22,,,False,False,False,False,False,True,3.08,-61.56,3.53,5.34,32.7,1.88,30.23,28.9,True,True,False,False,False,False
