STOCK,Date,D.perc_chg_x,D.MP20,D.MP50,D.MP200,D.MCo,D.RSI,D.MACD,D.per_volume_change_x,D.open_equals_high,D.open_equals_low,M.Prev_month_PerChange,M.Prev_Prev_month_PerChange,M.perc_chg_x,M.MP20,M.MP50,M.MP200,M.MCo,M.RSI,M.MACD,M.per_volume_change_x,M.open_equals_high,M.open_equals_low,W.Prev_week_PerChange,W.Prev_Prev_week_PerChange,W.perc_chg_x,W.MP20,W.MP50,W.MP200,W.MCo,W.RSI,W.MACD,W.per_volume_change_x,W.open_equals_high,W.open_equals_low,D.perc_chg_y,D.per_volume_change_y,D.PDEMA20,D.PDEMA50,D.PDSMA200,D.EMA20D50,D.EMA20D200,D.EMA50D200,D.RISING_RSI,D.RISING_LTP,D.DECLINING_RSI,D.DECLINING_LTP,D.RISING_VOLUME,D.DECLINING_VOLUME,M.perc_chg_y,M.per_volume_change_y,M.PDEMA20,M.PDEMA50,M.PDSMA200,M.EMA20D50,M.EMA20D200,M.EMA50D200,M.RISING_RSI,M.RISING_LTP,M.DECLINING_RSI,M.DECLINING_LTP,M.RISING_VOLUME,M.DECLINING_VOLUME,W.perc_chg_y,W.per_volume_change_y,W.PDEMA20,W.PDEMA50,W.PDSMA200,W.EMA20D50,W.EMA20D200,W.EMA50D200,W.RISING_RSI,W.RISING_LTP,W.DECLINING_RSI,W.DECLINING_LTP,W.RISING_VOLUME,W.DECLINING_VOLUME
CENTURYPLY,2023-02-08,1.25,DPA20,DPB50,DPB200,DBECO,52.85,BLW BUCO,-73.3,False,True,-1.67,0.76,-0.44,MPB20,MPA50,MPB200,MBUCO,52.1,ABV BECO,-59.68,False,False,0.63,2.8,1.89,WPB20,WPB50,WPA200,WBECO,41.35,BLW BECO,-58.61,False,False,1.25,-73.3,1.71,-1.72,-11.42,-3.49,-13.36,-9.54,False,False,False,False,False,False,-0.44,-59.68,-1.43,19.3,,20.45,,,False,False,False,False,False,True,1.89,-58.61,-5.76,-8.38,32.09,-2.48,35.79,37.34,True,True,False,False,False,False
CENTURYTEX,2023-02-08,2.57,DPB20,DPB50,DPB200,DBECO,37.29,BLW BECO,-63.88,False,False,-9.33,-1.98,-7.01,MPB20,MPB50,MPB200,MBECO,44.69,ABV BECO,-55.69,False,False,-6.7,2.98,-4.31,WPB20,WPB50,WPA200,WBECO,35.46,BLW BECO,-48.5,True,False,2.57,-63.88,-5.04,-10.06,-21.26,-4.78,-15.44,-10.17,False,False,False,False,False,True,-7.01,-55.69,-14.52,-15.37,,-0.74,,,False,False,True,True,False,True,-4.31,-48.5,-13.73,-18.37,1.13,-4.08,13.07,16.47,False,False,False,False,False,False
CERA,2023-02-08,-0.18,DPA20,DPA50,DPA200,DBUCO,69.88,ABV BUCO,97.14,False,False,9.76,1.15,9.56,MPA20,MPA50,MPB200,MBUCO,66.74,ABV BUCO,-33.2,False,True,2.28,4.16,2.09,WPA20,WPA50,WPA200,WBUCO,65.22,ABV BECO,-58.14,False,False,-0.18,97.14,4.83,6.38,14.71,1.63,10.39,8.9,False,False,False,False,True,False,9.56,-33.2,16.56,29.32,,15.29,,,True,True,False,False,False,True,2.09,-58.14,7.55,12.72,35.78,5.59,30.53,26.42,True,True,False,False,False,False
CESC,2023-02-08,-0.07,DPB20,DPB50,DPB200,DBECO,42.81,BLW BUCO,80.59,False,False,0.9,-5.17,0.83,MPB20,MPB50,MPB200,MBECO,48.16,ABV BECO,-74.24,False,False,0.62,0.21,0.55,WPB20,WPB50,WPA200,WBECO,42.33,BLW BECO,-41.97,False,False,0.0,80.59,-0.62,-2.43,-5.48,-1.79,-4.83,-2.98,True,False,False,False,True,False,0.9,-74.24,-3.97,-4.65,,-0.65,,,False,False,False,False,False,True,0.62,-41.97,-3.18,-5.37,0.77,-2.11,3.83,5.82,True,True,False,False,False,False
CGCL,2023-02-08,0.16,DPB20,DPB50,DPA200,DBUCO,47.77,BLW BECO,25.04,False,False,-0.11,-0.01,0.05,MPA20,MPA50,MPB200,MBUCO,81.79,ABV BECO,-86.0,False,False,-0.22,-0.73,-0.06,WPA20,WPA50,WPA200,WBUCO,58.15,ABV BECO,-35.5,False,False,0.16,25.04,-0.38,-0.15,4.06,0.23,4.42,4.2,False,False,False,False,False,False,0.05,-86.0,15.11,38.56,,27.62,,,False,False,False,False,False,True,-0.06,-35.5,1.13,7.64,45.82,6.58,45.21,41.34,False,False,True,True,False,True
CGPOWER,2023-02-08,0.36,DPA20,DPA50,DPA200,DBUCO,68.27,ABV BUCO,-58.62,False,False,4.25,11.89,4.63,MPA20,MPA50,MPB200,MBUCO,84.56,ABV BUCO,-77.12,False,False,1.96,3.64,2.33,WPA20,WPA50,WPA200,WBUCO,68.9,ABV BUCO,-43.34,False,False,0.36,-58.62,4.42,8.68,25.59,4.45,22.15,18.52,True,True,False,False,False,False,4.63,-77.12,34.15,56.04,,33.24,,,True,True,False,False,False,False,2.33,-43.34,12.79,25.57,69.21,14.66,64.69,58.63,True,True,False,False,False,False
CHALET,2023-02-08,0.14,DPA20,DPA50,DPA200,DBUCO,62.31,ABV BUCO,-45.05,False,False,1.94,2.19,2.08,MPA20,MPA50,MPB200,MBUCO,71.91,ABV BUCO,-85.39,False,False,0.08,3.15,0.22,WPA20,WPA50,WPA200,WBUCO,56.2,ABV BECO,-69.43,False,False,0.14,-45.05,2.62,3.36,7.89,0.76,5.41,4.69,False,False,False,False,False,False,2.08,-85.39,16.48,25.46,,10.75,,,True,True,False,False,False,False,0.22,-69.43,4.15,10.97,30.72,7.12,27.72,22.18,True,True,False,False,False,True
CHAMBLFERT,2023-02-08,2.14,DPB20,DPB50,DPB200,DBECO,46.52,BLW BECO,-14.03,False,False,-7.29,0.81,-5.31,MPB20,MPA50,MPB200,MBUCO,48.75,ABV BECO,-60.04,False,False,-1.34,0.7,0.77,WPB20,WPB50,WPA200,WBECO,43.72,BLW BUCO,-46.66,False,False,2.16,-14.03,-1.06,-2.49,-10.47,-1.41,-9.31,-7.78,False,False,False,False,False,False,-5.29,-60.04,-7.27,9.41,,15.55,,,False,False,False,False,False,True,0.78,-46.66,-3.88,-9.54,15.28,-5.45,18.45,22.66,True,True,False,False,False,False
CHEMPLASTS,2023-02-08,-1.23,DPB20,DPB50,DPB200,DBUCO,46.75,BLW BECO,7.88,False,False,-0.53,-3.85,-1.75,MPB20,MPB50,MPB200,MBECO,55.17,BLW BECO,-87.33,False,False,1.22,0.53,-0.02,WPA20,WPB50,WPB200,WBECO,49.26,BLW BUCO,-64.14,False,False,-1.23,7.88,-1.3,-0.92,-3.24,0.38,-1.92,-2.3,False,False,False,False,True,False,-1.75,-87.33,-12.21,-22.31,,-8.99,,,False,False,True,True,False,True,-0.02,-64.14,-0.22,-6.82,,-6.59,,,False,False,False,False,False,False
CHOLAFIN,2023-02-08,1.87,DPA20,DPA50,DPA200,DBUCO,71.86,ABV BUCO,8.47,False,False,10.53,-2.21,12.6,MPA20,MPA50,MPB200,MBUCO,65.78,ABV BECO,-53.93,False,True,0.03,10.04,1.91,WPA20,WPA50,WPA200,WBUCO,61.75,ABV BUCO,-81.01,False,False,1.87,8.47,7.12,8.66,10.54,1.66,3.68,2.05,True,True,False,False,False,False,12.6,-53.93,17.59,35.18,,21.34,,,False,False,False,False,False,False,1.91,-81.01,8.29,12.08,41.82,4.13,36.56,33.82,True,True,False,False,False,False
CHOLAHLDNG,2023-02-08,2.45,DPA20,DPA50,DPA200,DBUCO,75.09,ABV BUCO,6.14,False,False,5.64,8.25,8.22,MPA20,MPA50,MPB200,MBUCO,54.67,ABV BECO,-15.56,False,False,4.82,1.64,7.38,WPA20,WPA50,WPA200,WBECO,59.1,BLW BUCO,-45.94,False,False,2.45,6.14,6.78,7.66,3.84,0.94,-3.16,-4.14,False,False,False,False,False,False,8.22,-15.56,4.87,9.86,,5.24,,,True,True,False,False,False,False,7.38,-45.94,6.15,4.15,15.62,-2.13,10.1,11.97,True,True,False,False,False,False
