,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
2021-12-15,0.6106772477358481,0.10355831436328641,0.07145972517440556,0.09232618597720206,0.021458058607963987,0.04834566831802014,-0.024805944168662483,0.030638798505743334,0.04801711608244756,-0.001675170596254655
2021-12-16,0.5955451483065609,0.08004441471288294,0.09176243173951386,0.0628277724034354,0.03688510081687934,0.05126978385967787,0.011307475509960755,0.02655524423083508,0.02594865700537077,0.01785397141488293
2021-12-17,0.607612275514264,0.06742035104719536,0.08716060642149975,0.07124568160629716,0.02602699707981572,0.04635984033359049,-0.0055947446319491514,0.047306724969599305,0.03495569135224166,0.017506576307445544
2021-12-20,0.6017304452817567,0.06967647091603237,0.0785988024493934,0.03373487007209527,0.08609664204123509,0.02557353280794633,-0.0011802054915951306,0.05078129162480061,0.04168162707960947,0.013306523218725852
2021-12-21,0.5930843227146528,0.07581605297458663,0.10084042192266686,0.07160677864774913,0.05632528894379439,0.020210996675641194,0.016531289926985483,0.027338050403955056,0.013747110966172383,0.024499686823795972
2021-12-22,0.609791391004465,0.06086014566589494,0.09747196963581405,0.057953744348481065,0.04463787672831427,0.044194775936458174,-0.004130567739035723,0.03165485435780509,0.029909236218648598,0.027656573843154637
2021-12-23,0.6066770579348064,0.07418073283448912,0.08645461549862501,0.060095593285919714,0.06334178086026358,0.037368695494530424,-0.00977710148937961,0.03664856072674163,0.03209866042612792,0.01291140442787585
2021-12-27,0.5986206198959693,0.05224040107368676,0.09994498048680052,0.056638806670326516,0.057963966473185795,0.05070129936351858,-0.0209422283565772,0.04272564806508752,0.041346178520012655,0.020760327807989563
2021-12-28,0.6142196158661549,0.0558390603068224,0.09248627053900732,0.06752075658512414,0.0606178307322336,0.027493343621897953,0.004384372857711826,0.04115495329513907,0.016580739317060302,0.0197030568788485
2021-12-29,0.609946261546361,0.06775132340194526,0.08972019986703092,0.05378705070654336,0.05542258453160087,0.04440234993184485,-0.009441668252299681,0.03205377493585419,0.03320367633189686,0.023154446999222388
